Type level results	CK0-1	CK0-2	CK0-3	CK1-1	CK1-2	CK1-3	CK14-1	CK14-2	CK14-3	CK3-1	CK3-2	CK3-3	CK56-1	CK56-2	CK56-3	CK7-1	CK7-2	CK7-3	F1-1	F1-2	F1-3	F14-1	F14-2	F14-3	F3-1	F3-2	F3-3	F56-1	F56-2	F56-3	F7-1	F7-2	F7-3	T1-1	T1-2	T1-3	T14-1	T14-2	T14-3	T3-1	T3-2	T3-3	T56-1	T56-2	T56-3	T7-1	T7-2	T7-3
kasugamycin	0	0	0	0.000127597309814898	0	6.20475185944479e-05	0.000138981610309374	6.2255687092856e-05	0	0.000476426845043983	8.17581061608242e-05	3.63778161370671e-05	0	3.90818418370649e-05	0	0	0	0	0.000119352992945592	0	0.000588565808086094	0	0	0	0.000205493280099124	4.72090396774211e-05	0	0	0	0	4.86947559547092e-05	8.11951636832488e-05	0	0	0	0	0	3.53560342775765e-05	0	0	2.92820080259694e-05	5.18872493394786e-05	0	0.00013382570083601	0	0	0	0
macrolide-lincosamide-streptogramin	0.0190981359868252	0.0175919227136275	0.0178188714807833	0.0185727077059052	0.0163901212521726	0.0164583506073806	0.0177337478725979	0.0190996770600498	0.00472691486462096	0.015028489400661	0.0170464831141548	0.0150229779986344	0.00347928133417579	0.00309963701189137	0.0043767729284309	0.014000285842638	0.0167323090112888	0.014058731417331	0.0163263034857414	0.0222543900820249	0.0221776842506887	0.0189945195962982	0.0196488575192197	0.0171270762818827	0.0552600407705155	0.0445801821693902	0.0593120404801293	0.0161995524244167	0.0162615730734484	0.0178554281823238	0.0349880601683288	0.0425356734691771	0.0244119374785245	0.0161943838019694	0.0167945218140286	0.0166089261583072	0.00515505487457317	0.00493088626364272	0.00443280622628984	0.0261953362337262	0.0299614669152442	0.0272493770378336	0.00600697820823663	0.0179106166728864	0.0178557118092051	0.00799079042483114	0.0197028595214043	0.0248326711733086
multidrug	0.101003471699399	0.0990649256187566	0.0933124812677743	0.089840486309532	0.0877662462322005	0.0820050734381467	0.0991907870892124	0.116377902181807	0.0214096472730077	0.0850368649796346	0.0838700276582704	0.0884189445693444	0.0127250741082023	0.009837327803063	0.0172372711494218	0.0855463731849204	0.0874075556213548	0.0832690726788969	0.0844977076094223	0.101881662844711	0.105224389694575	0.112500864521667	0.118103658920624	0.11126301570373	0.341295905234975	0.170833901999473	0.231716639592945	0.0867836449366709	0.0967833455578948	0.0922985440341452	0.179634146087351	0.190888802199953	0.140322173682824	0.0809736406989238	0.0890988255202037	0.0920563373721733	0.0216615976758629	0.0185064360958026	0.0200481330847364	0.143101794463991	0.157529024636915	0.156412147589622	0.0256240337408362	0.0923990384645438	0.0897562444685173	0.0468296795165958	0.104419329478389	0.122309298506999
polymyxin	0.00143605674335725	0.0014448752742658	0.00115363656935958	0.00134855442503071	0.00191881879386201	0.00221695493727816	0.00133923221180907	0.00161833423527438	0.000807522140381821	0.00166155177543897	0.00152287247428623	0.000863063687851917	0.00046464515143417	0.000411399829883545	0.000636623919255684	0.00127354410219625	0.0018161319745377	0.00119200890393861	0.00110353425933964	0.00136824948010566	0.00177567392091496	0.001778378166371	0.00185484636121415	0.00164267428186578	0.00127638916477227	0.000720357329137662	0.00119148518198722	0.0017269481655901	0.00193493921481585	0.00155254278276492	0.0011563294186245	0.00141564200764474	0.00140888452133354	0.0013242587808844	0.00125777202460679	0.00135130809067172	0.000642868699249099	0.000486314751723218	0.000558092591838077	0.0014723327230699	0.00121493713300477	0.0013605101390278	0.000655742475956307	0.00116358839882739	0.00137952138044545	0.000778981609612762	0.000934317919207063	0.000815150214033854
puromycin	0.000299982517914316	6.74465408449563e-05	0.000106686965781685	9.89323078087682e-05	0.000221861738640955	3.09268375839977e-05	0.000199354337650524	0	0	0.00015667167763139	2.84268912232264e-05	0.000125514313928191	0	0	0	9.57028392416066e-05	6.78876832684696e-05	2.60537298809077e-05	0.00021113210422049	0.000153671588200383	3.51905870094636e-05	5.0311432876259e-05	7.98132057829059e-05	0	5.9613187589684e-05	3.37136858635972e-05	6.00887363891429e-05	2.6572567859672e-05	7.17034212100821e-05	0	0.000101510480547733	0.000130464919149408	8.38665861763462e-05	7.97623727412092e-05	7.88230175950134e-05	0.000326832860910165	1.29529147482488e-05	0	0	5.8301416695786e-05	5.6846681585207e-05	0	0	9.04207163558274e-05	5.48074558960729e-05	3.71626627440515e-05	9.46391761248767e-05	6.58725951622927e-05
quinolone	0.000804899646304724	0.000512694127211422	0.000909711683647466	0.000887738083088745	0.00102705307083577	0.000975332033921221	0.00112297351020119	0.00129627317259118	0.000325922011986657	0.000873410085914971	0.000960170598374742	0.00128639751701867	0.000308385727932728	0.000186626320577947	0.000303969564960373	0.000604718181453981	0.00136833718987776	0.00100619054137484	0.00105070693142348	0.000629484033628136	0.000779962115056691	0.00106693262811753	0.00105803127990898	0.000833830435216554	0.000997104135163268	0.000935189829658812	0.00119532086873244	0.0012058574972237	0.00113528954165347	0.000941679909455626	0.000718973898723755	0.00103459343602129	0.00146651324721645	0.000657711446104893	0.00106844803340515	0.000842484187001273	0.000479535042052297	0.000327836799149711	0.000243200334816972	0.00139570423244692	0.00103183410325949	0.00147856251095874	0.000674380472848076	0.00120945204699259	0.000991013387762754	0.000517956124034203	0.00151690787406509	0.00153841382323597
rifamycin	0.0207645616014606	0.0200168752097858	0.0182206325033408	0.0146029058350708	0.0131262715149946	0.0126083045257404	0.0155706803589754	0.0137412892318602	0.00229625806143431	0.0196623632117945	0.0147217183061822	0.0169758183152439	0.00134901543200511	0.00176059920155619	0.00131078857617274	0.0198630791461425	0.0128939461061292	0.0190247747537815	0.0153727589762846	0.0167105451542193	0.01582156440745	0.0215785579387125	0.0199251266115398	0.0232167123652384	0.016585179536957	0.00928790638412503	0.0142235148356609	0.0136468549159237	0.0203209819508429	0.0206088239334456	0.0155141580512327	0.0145143261520503	0.0172770557264963	0.0128981168316285	0.0160902210601827	0.0129850355798521	0.0017274845035901	0.00182179134329821	0.00181694199412968	0.0130314553483512	0.0140898897001735	0.0175127235898997	0.00224097132926441	0.0128849684025453	0.0131256829346301	0.00675186871953692	0.0180805450317708	0.0135455288853658
spectinomycin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54626062423689e-05	0	1.71194832520397e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfonamide	0.00212453816238554	0.00222036054701825	0.00239687948697934	0.00186475913405578	0.00291738382240082	0.0025241391171477	0.00267805553007868	0.00222220616945796	0.00115947452932737	0.00221620761816779	0.00132871091108296	0.00269262025672663	0.000870634168308663	0.000780304280162981	0.00122091853679776	0.00222272501018146	0.00160745559986024	0.00212956783708501	0.0049256823718405	0.00793025058772778	0.0081334729940618	0.0127444626250922	0.021360724688416	0.0177998654623869	0.201672738167418	0.0769185034180296	0.0983051846302495	0.00377455364297027	0.00268322051931983	0.00263897621043927	0.066358303913072	0.0762010165195676	0.0417053269091346	0.00565688986772454	0.00541175717104804	0.00660170119308222	0.00171692660440183	0.00151728180026021	0.00181513995397528	0.0365142143677463	0.056878385059391	0.0432475703111054	0.00187958196792461	0.00198187456617972	0.00307271573915327	0.00608487431678673	0.0188172686591474	0.0244033875136782
tetracenomycin_C	0.00385272963520456	0.00374984211763426	0.00267660043887018	0.0019102293131372	0.00251155379818681	0.00163305412197873	0.00190551781747951	0.00179360698879528	1.18578875239621e-05	0.00125440606631785	0.00234805480927614	0.00178845774803562	0	0	2.40747356148168e-05	0.00181757992262924	0.00250870076750002	0.00198033813266063	0.00238363204912961	0.00225336828156601	0.00198265241079841	0.00214576774018419	0.00184074065289248	0.00184038332429279	0.00164229448952213	0.00128325704629305	0.00110635949636286	0.002000174484601	0.00232453692449517	0.00263387953770381	0.00185629128082802	0.00130047866279101	0.00179142872477922	0.0022720445091934	0.00230775485317793	0.00255125888190855	0	0	2.28804615717695e-05	0.00142704972467355	0.00176085572099888	0.00200252576046913	4.21022434708004e-05	0.00223396700832868	0.00133071117839973	0.000777276623709659	0.00166435701883061	0.0019508871564001
tetracycline	0.00739296959441398	0.00538297344546358	0.00681262437590852	0.00705386120987491	0.00606415989381029	0.0060652700606172	0.00679951410444926	0.00751096566817438	0.00101079323163384	0.0060719000313107	0.00631224439989656	0.00604096298424902	0.00105256313615825	0.00102779670767108	0.00150618380264883	0.00458381920849767	0.00510003926677433	0.00471472928166558	0.010670863834773	0.0145880486489803	0.0184988121542222	0.0183355310956932	0.0204146575942168	0.0207801593654627	0.159764246146272	0.096777157411189	0.117885439376767	0.00571270032657301	0.00719707690018683	0.00671301071886021	0.0717412771178229	0.0870559386413027	0.0408806814126256	0.00855118427283252	0.00770762607569319	0.00954817105433972	0.00375531896934602	0.00279206211399834	0.0051073322129078	0.0588626079672894	0.0755582716705299	0.0621072868296079	0.00175448053417229	0.0064284930386291	0.00697478631687656	0.00917094728697044	0.0256993970098158	0.0366860739466486
trimethoprim	0.000111766577852469	0.00170594591821789	0.000877441815934689	0.000219609018666861	0.000370130748023543	0.000666683876607323	0.000243217818041405	0	0.00022946532600857	0	0.000134134392920102	0	0	9.19703489091074e-05	0.000461559054680226	4.92039836302131e-05	0	0.000941757950644591	0.000611036803368419	0.00191957273839139	0.00316024725164485	0.00329906204571089	0.00338295224156749	0.00475456274200823	0.054088244263167	0.0219410361598837	0.0274068451517012	0.000505509036135568	0.00030627780084218	0.000229481325371736	0.018799087191078	0.0199853042570473	0.01354108579791	0.00212817094795354	0.0010566911895426	0.00166272176968147	0.000666142343395251	0.000226757539755876	0.000233739965027982	0.00892280880496639	0.0101204083640661	0.0107741542702437	0.000143984164501952	0.000235585373354821	6.90596088717143e-05	0.00154675630360766	0.00283850786827503	0.00291245699860108
unclassified	0.0107542298136433	0.0109637426903364	0.0115801314020235	0.00915043112710823	0.00997721792542018	0.0086239561115741	0.0112683805181777	0.0119581897448373	0.00326630597963813	0.00871512770438975	0.00909975829011392	0.0111301514988531	0.00201551181467632	0.00204857648255973	0.00249276273293363	0.00755524112318737	0.0104277361033505	0.0101094026570089	0.00956108431514041	0.0100382495340788	0.00821907007379601	0.00835446971313073	0.00770473611228805	0.00693668456114283	0.00730617008588985	0.00488016429873491	0.0106129362437729	0.00836788681237064	0.00934289526238516	0.00999103567677789	0.00815871574531128	0.00760000457336131	0.00889193604859348	0.00693573542803126	0.00980478149950008	0.00848606011975574	0.00313664555285891	0.00253106051569641	0.00267420559192225	0.00893646089584124	0.00872831861390076	0.00750131822991977	0.00341764292401914	0.00996940432943467	0.00910547125679526	0.00427935699600989	0.00949736026482055	0.00868720065586003
vancomycin	0.0706445255742522	0.0686587116988121	0.0695788809953109	0.0533479174690938	0.0549253902139881	0.0502342658106977	0.0662202123064752	0.0699375855626394	0.00443858051781907	0.0542635639176949	0.0583715910687165	0.0599382772697624	0.00293619283974642	0.00367785035454247	0.00374167934328367	0.0594448318144862	0.0544494607615066	0.0552865249187606	0.0626260804236136	0.0547509563766627	0.050456641314395	0.062495039382283	0.0495792344845355	0.0660717021715816	0.0362721315969581	0.0277587769314487	0.0492508666259584	0.0621479768397272	0.0580937529339014	0.0625369741866885	0.0433169634776331	0.0443834441036555	0.0511506503690949	0.0573737687199588	0.0607155973655643	0.0566010782291129	0.00412266772950302	0.00548362206802827	0.00348129539964983	0.05547740569318	0.0529945317979208	0.066599556711564	0.00653617306765998	0.0634840020836516	0.0713264483333925	0.0280216262746008	0.0617287401205748	0.0611684002116326
